group,game,team_a,team_b,elo_a,elo_b,delta_elo,delta_eff,k_att_a,k_def_a,k_att_b,k_def_b,lambda_base_a,lambda_base_b,lambda_a,lambda_b,rho,p_win_a,p_draw,p_win_b,expected_goals_a,expected_goals_b,P_0_0,P_0_1,P_0_2,P_0_3,P_0_4,P_0_5,P_0_6,P_0_7,P_1_0,P_1_1,P_1_2,P_1_3,P_1_4,P_1_5,P_1_6,P_1_7,P_2_0,P_2_1,P_2_2,P_2_3,P_2_4,P_2_5,P_2_6,P_2_7,P_3_0,P_3_1,P_3_2,P_3_3,P_3_4,P_3_5,P_3_6,P_3_7,P_4_0,P_4_1,P_4_2,P_4_3,P_4_4,P_4_5,P_4_6,P_4_7,P_5_0,P_5_1,P_5_2,P_5_3,P_5_4,P_5_5,P_5_6,P_5_7,P_6_0,P_6_1,P_6_2,P_6_3,P_6_4,P_6_5,P_6_6,P_6_7,P_7_0,P_7_1,P_7_2,P_7_3,P_7_4,P_7_5,P_7_6,P_7_7
G,37,Belgium,Egypt,1969.6,1801.6,167.9,167.9,1.014,1.0119,0.9189,0.9203,1.7711,0.8814,1.6528,0.8195,0.0893,58.91,22.22,18.87,1.653,0.82,7.382,7.386,2.82,0.77,0.158,0.026,0.004,0.0,15.929,10.359,4.661,1.273,0.261,0.043,0.006,0.001,11.47,9.4,3.852,1.052,0.216,0.035,0.005,0.001,6.319,5.179,2.122,0.58,0.119,0.019,0.003,0.0,2.611,2.14,0.877,0.24,0.049,0.008,0.001,0.0,0.863,0.707,0.29,0.079,0.016,0.003,0.0,0.0,0.238,0.195,0.08,0.022,0.004,0.001,0.0,0.0,0.056,0.046,0.019,0.005,0.001,0.0,0.0,0.0
G,38,Belgium,Iran,1969.6,1884.4,85.1,85.1,1.014,1.0119,0.9622,0.953,1.5113,1.0609,1.4604,1.0329,0.1042,48.72,23.67,27.61,1.46,1.033,6.955,9.441,4.402,1.516,0.391,0.081,0.014,0.002,13.885,11.151,6.429,2.213,0.572,0.118,0.02,0.003,8.799,9.089,4.694,1.616,0.417,0.086,0.015,0.002,4.283,4.424,2.285,0.787,0.203,0.042,0.007,0.001,1.564,1.615,0.834,0.287,0.074,0.015,0.003,0.0,0.457,0.472,0.244,0.084,0.022,0.004,0.001,0.0,0.111,0.115,0.059,0.02,0.005,0.001,0.0,0.0,0.023,0.024,0.012,0.004,0.001,0.0,0.0,0.0
G,39,Belgium,New Zealand,1969.6,1703.5,266.1,266.1,1.014,1.0119,1.1097,0.9906,2.1137,0.6995,2.123,0.7855,0.0699,69.43,17.76,12.8,2.123,0.785,4.795,4.497,1.674,0.438,0.086,0.014,0.002,0.0,13.233,8.418,3.554,0.931,0.183,0.029,0.004,0.0,12.231,9.607,3.773,0.988,0.194,0.03,0.004,0.0,8.656,6.799,2.67,0.699,0.137,0.022,0.003,0.0,4.594,3.608,1.417,0.371,0.073,0.011,0.001,0.0,1.951,1.532,0.602,0.158,0.031,0.005,0.001,0.0,0.69,0.542,0.213,0.056,0.011,0.002,0.0,0.0,0.209,0.164,0.065,0.017,0.003,0.001,0.0,0.0
G,40,Egypt,Iran,1801.6,1884.4,-82.8,-82.8,0.9189,0.9203,0.9622,0.953,1.0665,1.5043,0.9338,1.332,0.1046,27.13,25.15,47.72,0.934,1.332,9.009,15.719,9.188,4.08,1.359,0.362,0.08,0.015,10.617,11.535,8.58,3.81,1.269,0.338,0.075,0.014,4.516,6.015,4.006,1.779,0.592,0.158,0.035,0.007,1.406,1.872,1.247,0.554,0.184,0.049,0.011,0.002,0.328,0.437,0.291,0.129,0.043,0.011,0.003,0.0,0.061,0.082,0.054,0.024,0.008,0.002,0.0,0.0,0.01,0.013,0.008,0.004,0.001,0.0,0.0,0.0,0.001,0.002,0.001,0.001,0.0,0.0,0.0,0.0
G,41,Egypt,New Zealand,1801.6,1703.5,98.2,98.2,0.9189,0.9203,1.1097,0.9906,1.5504,1.031,1.4112,1.0529,0.102,46.86,24.1,29.04,1.411,1.053,7.212,9.911,4.712,1.654,0.435,0.092,0.016,0.002,13.721,11.342,6.649,2.334,0.614,0.129,0.023,0.003,8.464,8.912,4.692,1.647,0.433,0.091,0.016,0.002,3.981,4.192,2.207,0.775,0.204,0.043,0.008,0.001,1.405,1.479,0.779,0.273,0.072,0.015,0.003,0.0,0.396,0.417,0.22,0.077,0.02,0.004,0.001,0.0,0.093,0.098,0.052,0.018,0.005,0.001,0.0,0.0,0.019,0.02,0.01,0.004,0.001,0.0,0.0,0.0
G,42,Iran,New Zealand,1884.4,1703.5,180.9,180.9,0.9622,0.953,1.1097,0.9906,1.8145,0.8554,1.7294,0.9046,0.0868,58.45,21.61,19.94,1.729,0.905,6.18,6.978,2.926,0.882,0.2,0.036,0.005,0.001,14.226,10.217,5.061,1.526,0.345,0.062,0.009,0.001,10.695,9.675,4.376,1.319,0.298,0.054,0.008,0.001,6.165,5.577,2.523,0.761,0.172,0.031,0.005,0.001,2.666,2.411,1.091,0.329,0.074,0.013,0.002,0.0,0.922,0.834,0.377,0.114,0.026,0.005,0.001,0.0,0.266,0.24,0.109,0.033,0.007,0.001,0.0,0.0,0.066,0.059,0.027,0.008,0.002,0.0,0.0,0.0
H,43,Spain,Cape Verde,2181.9,1693.9,488.0,488.0,0.9609,1.1068,0.9611,0.9547,3.0126,0.3965,2.7638,0.4218,0.0207,86.0,10.39,3.61,2.764,0.422,4.047,1.764,0.369,0.052,0.005,0.0,0.0,0.0,12.117,4.735,1.02,0.143,0.015,0.001,0.0,0.0,15.84,6.681,1.409,0.198,0.021,0.002,0.0,0.0,14.593,6.155,1.298,0.182,0.019,0.002,0.0,0.0,10.083,4.253,0.897,0.126,0.013,0.001,0.0,0.0,5.574,2.351,0.496,0.07,0.007,0.001,0.0,0.0,2.567,1.083,0.228,0.032,0.003,0.0,0.0,0.0,1.014,0.428,0.09,0.013,0.001,0.0,0.0,0.0
H,44,Spain,Saudi Arabia,2181.9,1666.5,515.4,515.4,0.9609,1.1068,0.9801,0.954,3.1338,0.368,2.8727,0.3992,0.0143,87.42,9.5,3.09,2.873,0.399,3.754,1.532,0.304,0.04,0.004,0.0,0.0,0.0,11.413,4.314,0.874,0.116,0.012,0.001,0.0,0.0,15.748,6.287,1.255,0.167,0.017,0.001,0.0,0.0,15.08,6.02,1.202,0.16,0.016,0.001,0.0,0.0,10.83,4.324,0.863,0.115,0.011,0.001,0.0,0.0,6.222,2.484,0.496,0.066,0.007,0.001,0.0,0.0,2.979,1.189,0.237,0.032,0.003,0.0,0.0,0.0,1.223,0.488,0.097,0.013,0.001,0.0,0.0,0.0
H,45,Spain,Uruguay,2181.9,1959.7,222.2,222.2,0.9609,1.1068,0.9171,0.9285,1.9561,0.7768,1.7453,0.7885,0.0788,61.71,21.41,16.89,1.745,0.789,7.038,6.611,2.454,0.645,0.127,0.02,0.003,0.0,15.672,10.008,4.283,1.126,0.222,0.035,0.005,0.001,12.023,9.48,3.738,0.982,0.194,0.031,0.004,0.0,6.994,5.515,2.174,0.572,0.113,0.018,0.002,0.0,3.052,2.406,0.949,0.249,0.049,0.008,0.001,0.0,1.065,0.84,0.331,0.087,0.017,0.003,0.0,0.0,0.31,0.244,0.096,0.025,0.005,0.001,0.0,0.0,0.077,0.061,0.024,0.006,0.001,0.0,0.0,0.0
H,46,Cape Verde,Saudi Arabia,1693.9,1666.5,27.4,27.4,0.9611,0.9547,0.9801,0.954,1.3461,1.2011,1.2342,1.1239,0.1138,40.38,24.91,34.71,1.234,1.124,7.966,11.99,5.974,2.238,0.629,0.141,0.026,0.004,13.314,11.629,7.373,2.762,0.776,0.174,0.033,0.005,7.205,8.097,4.55,1.705,0.479,0.108,0.02,0.003,2.964,3.331,1.872,0.701,0.197,0.044,0.008,0.001,0.915,1.028,0.578,0.216,0.061,0.014,0.003,0.0,0.226,0.254,0.143,0.053,0.015,0.003,0.001,0.0,0.046,0.052,0.029,0.011,0.003,0.001,0.0,0.0,0.008,0.009,0.005,0.002,0.001,0.0,0.0,0.0
H,47,Cape Verde,Uruguay,1693.9,1959.7,-265.7,-265.7,0.9611,0.9547,0.9171,0.9285,0.7001,2.1124,0.6248,1.8497,0.07,11.98,19.83,68.19,0.625,1.85,7.677,17.449,14.288,8.81,4.074,1.507,0.465,0.123,5.447,8.977,8.927,5.504,2.545,0.942,0.29,0.077,1.63,3.015,2.789,1.719,0.795,0.294,0.091,0.024,0.339,0.628,0.581,0.358,0.166,0.061,0.019,0.005,0.053,0.098,0.091,0.056,0.026,0.01,0.003,0.001,0.007,0.012,0.011,0.007,0.003,0.001,0.0,0.0,0.001,0.001,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H,48,Saudi Arabia,Uruguay,1666.5,1959.7,-293.2,-293.2,0.9801,0.954,0.9171,0.9285,0.6549,2.2146,0.596,1.9376,0.0642,10.6,18.78,70.62,0.596,1.938,7.288,17.152,14.778,9.544,4.623,1.792,0.579,0.16,4.871,8.507,8.807,5.688,2.755,1.068,0.345,0.095,1.398,2.709,2.624,1.695,0.821,0.318,0.103,0.028,0.278,0.538,0.521,0.337,0.163,0.063,0.02,0.006,0.041,0.08,0.078,0.05,0.024,0.009,0.003,0.001,0.005,0.01,0.009,0.006,0.003,0.001,0.0,0.0,0.0,0.001,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I,49,France,Senegal,2120.4,1909.0,211.4,211.4,0.9534,1.0253,0.9882,0.9954,1.9182,0.7969,1.8204,0.8074,0.0809,62.94,20.61,16.45,1.82,0.807,6.33,6.18,2.342,0.63,0.127,0.021,0.003,0.0,15.006,9.706,4.263,1.147,0.232,0.037,0.005,0.001,11.905,9.612,3.88,1.044,0.211,0.034,0.005,0.001,7.224,5.833,2.355,0.634,0.128,0.021,0.003,0.0,3.288,2.654,1.072,0.288,0.058,0.009,0.001,0.0,1.197,0.966,0.39,0.105,0.021,0.003,0.0,0.0,0.363,0.293,0.118,0.032,0.006,0.001,0.0,0.0,0.094,0.076,0.031,0.008,0.002,0.0,0.0,0.0
I,50,France,Iraq,2120.4,1724.6,395.8,395.8,0.9534,1.0253,0.9109,0.9506,2.6199,0.5059,2.3744,0.4724,0.0418,80.55,13.76,5.69,2.374,0.472,5.499,2.78,0.644,0.101,0.012,0.001,0.0,0.0,15.061,6.202,1.529,0.241,0.028,0.003,0.0,0.0,16.265,7.684,1.815,0.286,0.034,0.003,0.0,0.0,12.874,6.082,1.437,0.226,0.027,0.003,0.0,0.0,7.642,3.61,0.853,0.134,0.016,0.001,0.0,0.0,3.629,1.714,0.405,0.064,0.008,0.001,0.0,0.0,1.436,0.678,0.16,0.025,0.003,0.0,0.0,0.0,0.487,0.23,0.054,0.009,0.001,0.0,0.0,0.0
I,51,France,Norway,2120.4,1938.8,181.6,181.6,0.9534,1.0253,1.0746,1.0568,1.8166,0.8541,1.8302,0.941,0.0867,59.82,20.72,19.46,1.83,0.941,5.304,6.347,2.761,0.866,0.204,0.038,0.006,0.001,13.224,9.808,5.053,1.585,0.373,0.07,0.011,0.001,10.444,9.828,4.624,1.45,0.341,0.064,0.01,0.001,6.371,5.996,2.821,0.885,0.208,0.039,0.006,0.001,2.915,2.743,1.291,0.405,0.095,0.018,0.003,0.0,1.067,1.004,0.472,0.148,0.035,0.007,0.001,0.0,0.326,0.306,0.144,0.045,0.011,0.002,0.0,0.0,0.085,0.08,0.038,0.012,0.003,0.001,0.0,0.0
I,52,Senegal,Iraq,1909.0,1724.6,184.4,184.4,0.9882,0.9954,0.9109,0.9506,1.826,0.8487,1.7154,0.7695,0.0862,61.67,21.52,16.81,1.715,0.77,7.341,6.797,2.453,0.629,0.121,0.019,0.002,0.0,16.31,9.992,4.207,1.079,0.208,0.032,0.004,0.0,12.187,9.378,3.609,0.926,0.178,0.027,0.004,0.0,6.969,5.363,2.063,0.529,0.102,0.016,0.002,0.0,2.988,2.3,0.885,0.227,0.044,0.007,0.001,0.0,1.025,0.789,0.304,0.078,0.015,0.002,0.0,0.0,0.293,0.226,0.087,0.022,0.004,0.001,0.0,0.0,0.072,0.055,0.021,0.005,0.001,0.0,0.0,0.0
I,53,Senegal,Norway,1909.0,1938.8,-29.8,-29.8,0.9882,0.9954,1.0746,1.0568,1.1951,1.3526,1.2481,1.4468,0.1134,33.76,22.93,43.31,1.248,1.447,5.371,11.375,7.069,3.409,1.233,0.357,0.086,0.018,9.623,10.813,8.823,4.255,1.539,0.445,0.107,0.022,5.26,7.611,5.506,2.655,0.96,0.278,0.067,0.014,2.188,3.166,2.291,1.105,0.4,0.116,0.028,0.006,0.683,0.988,0.715,0.345,0.125,0.036,0.009,0.002,0.17,0.247,0.178,0.086,0.031,0.009,0.002,0.0,0.035,0.051,0.037,0.018,0.006,0.002,0.0,0.0,0.006,0.009,0.007,0.003,0.001,0.0,0.0,0.0
I,54,Iraq,Norway,1724.6,1938.8,-214.2,-214.2,0.9109,0.9506,1.0746,1.0568,0.7917,1.9279,0.7621,1.9694,0.0804,13.82,18.93,67.25,0.762,1.969,5.688,14.757,12.545,8.236,4.055,1.597,0.524,0.147,5.232,8.929,9.561,6.277,3.09,1.217,0.4,0.112,1.879,3.7,3.643,2.392,1.178,0.464,0.152,0.043,0.477,0.94,0.926,0.608,0.299,0.118,0.039,0.011,0.091,0.179,0.176,0.116,0.057,0.022,0.007,0.002,0.014,0.027,0.027,0.018,0.009,0.003,0.001,0.0,0.002,0.003,0.003,0.002,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J,55,Argentina,Algeria,2169.0,1881.0,287.9,287.9,0.9254,0.9476,0.9615,0.9876,2.1948,0.6634,2.0059,0.6044,0.0653,71.73,18.04,10.23,2.006,0.604,6.713,4.58,1.332,0.268,0.041,0.005,0.0,0.0,16.541,8.261,2.671,0.538,0.081,0.01,0.001,0.0,14.667,8.865,2.679,0.54,0.082,0.01,0.001,0.0,9.807,5.927,1.791,0.361,0.055,0.007,0.001,0.0,4.918,2.973,0.898,0.181,0.027,0.003,0.0,0.0,1.973,1.193,0.36,0.073,0.011,0.001,0.0,0.0,0.66,0.399,0.12,0.024,0.004,0.0,0.0,0.0,0.189,0.114,0.035,0.007,0.001,0.0,0.0,0.0
J,56,Argentina,Austria,2169.0,1893.3,275.7,275.7,0.9254,0.9476,0.9504,0.9872,2.1493,0.6834,1.9635,0.6154,0.0679,70.68,18.52,10.79,1.963,0.615,6.906,4.823,1.425,0.292,0.045,0.006,0.001,0.0,16.74,8.473,2.797,0.574,0.088,0.011,0.001,0.0,14.501,8.924,2.746,0.563,0.087,0.011,0.001,0.0,9.491,5.841,1.797,0.369,0.057,0.007,0.001,0.0,4.659,2.867,0.882,0.181,0.028,0.003,0.0,0.0,1.829,1.126,0.346,0.071,0.011,0.001,0.0,0.0,0.599,0.368,0.113,0.023,0.004,0.0,0.0,0.0,0.168,0.103,0.032,0.007,0.001,0.0,0.0,0.0
J,57,Argentina,Jordan,2169.0,1755.7,413.3,413.3,0.9254,0.9476,1.0629,1.0425,2.6927,0.4833,2.5978,0.4868,0.0379,83.06,12.0,4.94,2.598,0.487,4.345,2.263,0.541,0.088,0.011,0.001,0.0,0.0,13.021,5.553,1.405,0.228,0.028,0.003,0.0,0.0,15.399,7.497,1.825,0.296,0.036,0.004,0.0,0.0,13.335,6.492,1.58,0.256,0.031,0.003,0.0,0.0,8.66,4.216,1.026,0.167,0.02,0.002,0.0,0.0,4.5,2.191,0.533,0.087,0.011,0.001,0.0,0.0,1.948,0.948,0.231,0.037,0.005,0.0,0.0,0.0,0.723,0.352,0.086,0.014,0.002,0.0,0.0,0.0
J,58,Algeria,Austria,1881.0,1893.3,-12.2,-12.2,0.9615,0.9876,0.9504,0.9872,1.2401,1.3047,1.1772,1.2246,0.1162,36.49,24.61,38.9,1.177,1.225,7.54,12.668,6.79,2.772,0.849,0.208,0.042,0.007,12.119,11.539,7.993,3.263,0.999,0.245,0.05,0.009,6.275,7.684,4.705,1.92,0.588,0.144,0.029,0.005,2.462,3.015,1.846,0.754,0.231,0.057,0.012,0.002,0.725,0.887,0.543,0.222,0.068,0.017,0.003,0.001,0.171,0.209,0.128,0.052,0.016,0.004,0.001,0.0,0.033,0.041,0.025,0.01,0.003,0.001,0.0,0.0,0.006,0.007,0.004,0.002,0.001,0.0,0.0,0.0
J,59,Algeria,Jordan,1881.0,1755.7,125.4,125.4,0.9615,0.9876,1.0629,1.0425,1.6343,0.9706,1.6382,1.0189,0.0972,53.51,22.29,24.2,1.638,1.019,5.864,7.837,3.633,1.234,0.314,0.064,0.011,0.002,13.291,10.548,5.951,2.021,0.515,0.105,0.018,0.003,9.392,9.569,4.875,1.656,0.422,0.086,0.015,0.002,5.129,5.225,2.662,0.904,0.23,0.047,0.008,0.001,2.1,2.14,1.09,0.37,0.094,0.019,0.003,0.0,0.688,0.701,0.357,0.121,0.031,0.006,0.001,0.0,0.188,0.191,0.098,0.033,0.008,0.002,0.0,0.0,0.044,0.045,0.023,0.008,0.002,0.0,0.0,0.0
J,60,Austria,Jordan,1893.3,1755.7,137.6,137.6,0.9504,0.9872,1.0629,1.0425,1.6728,0.9443,1.6574,0.9909,0.0949,54.65,22.17,23.17,1.657,0.991,5.958,7.652,3.465,1.145,0.284,0.056,0.009,0.001,13.54,10.492,5.743,1.897,0.47,0.093,0.015,0.002,9.695,9.606,4.76,1.572,0.389,0.077,0.013,0.002,5.356,5.307,2.629,0.869,0.215,0.043,0.007,0.001,2.219,2.199,1.09,0.36,0.089,0.018,0.003,0.0,0.736,0.729,0.361,0.119,0.03,0.006,0.001,0.0,0.203,0.201,0.1,0.033,0.008,0.002,0.0,0.0,0.048,0.048,0.024,0.008,0.002,0.0,0.0,0.0
K,61,Portugal,DR Congo,2024.8,1755.2,269.6,269.6,0.9678,0.9925,0.917,0.9338,2.1265,0.6937,1.9217,0.6313,0.0692,69.47,19.05,11.48,1.922,0.631,7.074,5.088,1.539,0.324,0.051,0.006,0.001,0.0,16.812,8.72,2.957,0.622,0.098,0.012,0.001,0.0,14.258,9.002,2.842,0.598,0.094,0.012,0.001,0.0,9.133,5.766,1.82,0.383,0.06,0.008,0.001,0.0,4.388,2.77,0.875,0.184,0.029,0.004,0.0,0.0,1.686,1.065,0.336,0.071,0.011,0.001,0.0,0.0,0.54,0.341,0.108,0.023,0.004,0.0,0.0,0.0,0.148,0.094,0.03,0.006,0.001,0.0,0.0,0.0
K,62,Portugal,Uzbekistan,2024.8,1807.2,217.6,217.6,0.9678,0.9925,0.9289,0.9275,1.9398,0.7854,1.7411,0.724,0.0797,63.35,21.26,15.39,1.741,0.724,7.596,6.467,2.213,0.534,0.097,0.014,0.002,0.0,16.743,9.797,3.854,0.93,0.168,0.024,0.003,0.0,12.799,9.267,3.355,0.81,0.147,0.021,0.003,0.0,7.428,5.378,1.947,0.47,0.085,0.012,0.001,0.0,3.233,2.341,0.848,0.205,0.037,0.005,0.001,0.0,1.126,0.815,0.295,0.071,0.013,0.002,0.0,0.0,0.327,0.237,0.086,0.021,0.004,0.001,0.0,0.0,0.081,0.059,0.021,0.005,0.001,0.0,0.0,0.0
K,63,Portugal,Colombia,2024.8,2044.8,-20.0,-20.0,0.9678,0.9925,1.0202,0.9721,1.22,1.3258,1.1478,1.3425,0.1149,33.15,23.97,42.89,1.148,1.343,6.819,12.842,7.468,3.342,1.122,0.301,0.067,0.013,10.766,11.301,8.571,3.836,1.287,0.346,0.077,0.015,5.458,7.328,4.919,2.201,0.739,0.198,0.044,0.009,2.088,2.803,1.882,0.842,0.283,0.076,0.017,0.003,0.599,0.804,0.54,0.242,0.081,0.022,0.005,0.001,0.138,0.185,0.124,0.055,0.019,0.005,0.001,0.0,0.026,0.035,0.024,0.011,0.004,0.001,0.0,0.0,0.004,0.006,0.004,0.002,0.001,0.0,0.0,0.0
K,64,DR Congo,Uzbekistan,1755.2,1807.2,-52.0,-52.0,0.917,0.9338,0.9289,0.9275,1.1399,1.4148,0.9695,1.2272,0.1098,30.23,25.91,43.85,0.969,1.227,9.658,15.469,8.365,3.422,1.05,0.258,0.053,0.009,11.916,11.766,8.11,3.317,1.018,0.25,0.051,0.009,5.221,6.407,3.931,1.608,0.493,0.121,0.025,0.004,1.687,2.07,1.27,0.52,0.159,0.039,0.008,0.001,0.409,0.502,0.308,0.126,0.039,0.009,0.002,0.0,0.079,0.097,0.06,0.024,0.007,0.002,0.0,0.0,0.013,0.016,0.01,0.004,0.001,0.0,0.0,0.0,0.002,0.002,0.001,0.001,0.0,0.0,0.0,0.0
K,65,DR Congo,Colombia,1755.2,2044.8,-289.6,-289.6,0.917,0.9338,1.0202,0.9721,0.6607,2.2011,0.589,2.097,0.065,9.25,16.98,73.78,0.589,2.097,6.215,16.102,14.858,10.385,5.444,2.283,0.798,0.239,4.132,7.803,8.751,6.117,3.207,1.345,0.47,0.141,1.172,2.458,2.577,1.801,0.944,0.396,0.138,0.041,0.23,0.483,0.506,0.354,0.185,0.078,0.027,0.008,0.034,0.071,0.074,0.052,0.027,0.011,0.004,0.001,0.004,0.008,0.009,0.006,0.003,0.001,0.0,0.0,0.0,0.001,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K,66,Uzbekistan,Colombia,1807.2,2044.8,-237.6,-237.6,0.9289,0.9275,1.0202,0.9721,0.749,2.0105,0.6763,1.9024,0.0757,12.63,19.35,68.03,0.676,1.902,6.794,16.384,13.622,8.638,4.108,1.563,0.496,0.135,5.352,8.953,9.213,5.843,2.779,1.057,0.335,0.091,1.722,3.276,3.116,1.976,0.94,0.358,0.113,0.031,0.388,0.738,0.702,0.445,0.212,0.081,0.026,0.007,0.066,0.125,0.119,0.075,0.036,0.014,0.004,0.001,0.009,0.017,0.016,0.01,0.005,0.002,0.001,0.0,0.001,0.002,0.002,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L,67,England,Croatia,2044.7,1955.0,89.6,89.6,0.9547,0.9892,0.9742,1.0109,1.5248,1.0505,1.4715,1.0123,0.1034,49.53,23.63,26.85,1.472,1.012,7.045,9.314,4.268,1.44,0.364,0.074,0.012,0.002,14.121,11.123,6.28,2.119,0.536,0.109,0.018,0.003,9.017,9.128,4.62,1.559,0.395,0.08,0.013,0.002,4.423,4.477,2.266,0.765,0.194,0.039,0.007,0.001,1.627,1.647,0.834,0.281,0.071,0.014,0.002,0.0,0.479,0.485,0.245,0.083,0.021,0.004,0.001,0.0,0.117,0.119,0.06,0.02,0.005,0.001,0.0,0.0,0.025,0.025,0.013,0.004,0.001,0.0,0.0,0.0
L,68,England,Ghana,2044.7,1629.7,415.0,415.0,0.9547,0.9892,1.0147,0.9337,2.6997,0.4813,2.4065,0.483,0.0375,80.68,13.62,5.7,2.406,0.483,5.295,2.723,0.646,0.104,0.013,0.001,0.0,0.0,14.525,6.194,1.554,0.25,0.03,0.003,0.0,0.0,16.031,7.744,1.87,0.301,0.036,0.004,0.0,0.0,12.859,6.212,1.5,0.242,0.029,0.003,0.0,0.0,7.736,3.737,0.903,0.145,0.018,0.002,0.0,0.0,3.723,1.799,0.434,0.07,0.008,0.001,0.0,0.0,1.493,0.721,0.174,0.028,0.003,0.0,0.0,0.0,0.513,0.248,0.06,0.01,0.001,0.0,0.0,0.0
L,69,England,Panama,2044.7,1821.3,223.3,223.3,0.9547,0.9892,0.9894,0.9897,1.96,0.7748,1.852,0.7583,0.0786,64.87,20.17,14.96,1.852,0.758,6.5,5.87,2.1,0.531,0.101,0.015,0.002,0.0,15.5,9.454,3.89,0.983,0.186,0.028,0.004,0.0,12.529,9.501,3.602,0.91,0.173,0.026,0.003,0.0,7.735,5.865,2.224,0.562,0.107,0.016,0.002,0.0,3.581,2.715,1.029,0.26,0.049,0.007,0.001,0.0,1.326,1.006,0.381,0.096,0.018,0.003,0.0,0.0,0.409,0.31,0.118,0.03,0.006,0.001,0.0,0.0,0.108,0.082,0.031,0.008,0.001,0.0,0.0,0.0
L,70,Croatia,Ghana,1955.0,1629.7,325.3,325.3,0.9742,1.0109,1.0147,0.9337,2.3377,0.6049,2.1264,0.6204,0.0574,73.37,17.02,9.61,2.126,0.62,5.888,4.093,1.226,0.254,0.039,0.005,0.001,0.0,15.199,7.922,2.607,0.539,0.084,0.01,0.001,0.0,14.402,8.935,2.772,0.573,0.089,0.011,0.001,0.0,10.208,6.333,1.965,0.406,0.063,0.008,0.001,0.0,5.426,3.367,1.044,0.216,0.033,0.004,0.0,0.0,2.308,1.432,0.444,0.092,0.014,0.002,0.0,0.0,0.818,0.507,0.157,0.033,0.005,0.001,0.0,0.0,0.248,0.154,0.048,0.01,0.002,0.0,0.0,0.0
L,71,Croatia,Panama,1955.0,1821.3,133.7,133.7,0.9742,1.0109,0.9894,0.9897,1.6604,0.9527,1.6009,0.9528,0.0956,54.25,22.68,23.07,1.601,0.953,6.625,8.064,3.521,1.118,0.266,0.051,0.008,0.001,14.32,10.7,5.637,1.79,0.426,0.081,0.013,0.002,9.94,9.471,4.512,1.433,0.341,0.065,0.01,0.001,5.305,5.054,2.408,0.765,0.182,0.035,0.006,0.001,2.123,2.023,0.964,0.306,0.073,0.014,0.002,0.0,0.68,0.648,0.309,0.098,0.023,0.004,0.001,0.0,0.181,0.173,0.082,0.026,0.006,0.001,0.0,0.0,0.041,0.04,0.019,0.006,0.001,0.0,0.0,0.0
L,72,Ghana,Panama,1629.7,1821.3,-191.6,-191.6,1.0147,0.9337,0.9894,0.9897,0.8345,1.8505,0.8381,1.7095,0.0848,18.56,21.76,59.68,0.838,1.709,6.845,15.25,11.384,6.487,2.772,0.948,0.27,0.066,6.994,10.216,9.541,5.436,2.323,0.794,0.226,0.055,2.736,4.677,3.998,2.278,0.974,0.333,0.095,0.023,0.764,1.307,1.117,0.636,0.272,0.093,0.026,0.006,0.16,0.274,0.234,0.133,0.057,0.019,0.006,0.001,0.027,0.046,0.039,0.022,0.01,0.003,0.001,0.0,0.004,0.006,0.005,0.003,0.001,0.0,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.0
